"Annee","Mois","ProfondeurMoyenne","AssecT_1"
2014,"01",0.835,"non"
2014,"02",0.78,"non"
2014,"03",0.67,"non"
2014,"04",0.7,"non"
2014,"05",0.62,"non"
2014,"06",0.565,"non"
2014,"07",0.485,"non"
2014,"08",0.4,"non"
2014,"09",0.415,"non"
2014,"10",0.725,"non"
2014,"11",0.76,"non"
2014,"12",0.8,"non"
2015,"01",0.8,"non"
2015,"02",0.87,"non"
2015,"03",0.85,"non"
2015,"04",0.88,"non"
2015,"05",0.82,"non"
2015,"06",0.733333333333333,"non"
2015,"07",0.495,"non"
2015,"08",0.43,"non"
2015,"09",0.41,"non"
2015,"10",0.433333333333333,"non"
2015,"11",0.5,"non"
2015,"12",0.465,"non"
2016,"01",0.54,"non"
2016,"02",0.646666666666667,"non"
2016,"03",0.668333333333333,"non"
2016,"04",0.655,"non"
2016,"05",0.575,"non"
2016,"06",0.46,"non"
2016,"07",0.24375,"non"
2016,"08",0.102,"non"
2016,"09",0,"non"
2016,"10",0.16,"non"
2016,"11",0.27875,"non"
2016,"12",0.353333333333333,"non"
2017,"01",0.505,"total"
2017,"02",0.7725,"total"
2017,"03",0.918,"total"
2017,"04",0.92,"total"
2017,"05",0.846666666666667,"total"
2017,"06",0.756,"total"
2017,"07",0.588,"total"
2017,"08",0.4125,"total"
2017,"09",0.302,"total"
2017,"10",0.251428571428571,"total"
2017,"11",0.2375,"total"
2017,"12",0.22,"total"
2018,"01",0.352857142857143,"non"
2018,"02",0.6275,"non"
2018,"03",0.945,"non"
2018,"04",0.925,"non"
2018,"05",0.935,"non"
2018,"06",0.955,"non"
2018,"07",0.7875,"non"
2018,"08",0.61,"non"
2018,"09",0.4875,"non"
2018,"10",0.4675,"non"
2018,"11",0.6875,"non"
2018,"12",0.84,"non"
2019,"01",0.927333333333333,"non"
2019,"02",0.915,"non"
2019,"03",0.91,"non"
2019,"04",0.8775,"non"
2019,"05",0.815,"non"
2019,"06",0.705,"non"
2019,"07",0.463333333333333,"non"
2019,"08",0.29,"non"
2019,"09",0.175,"non"
2019,"10",0.178333333333333,"non"
2019,"11",0.4375,"non"
2019,"12",0.44,"non"
2020,"01",0.53,"partiel"
2020,"02",0.695,"partiel"
2020,"03",0.755,"partiel"
2020,"04",0.82,"partiel"
2020,"05",0.74,"partiel"
2020,"06",0.6725,"partiel"
2020,"07",0.5325,"partiel"
2020,"08",0.315,"partiel"
2020,"09",0.25,"partiel"
2020,"10",0.2925,"partiel"
2020,"11",0.375,"partiel"
2020,"12",0.4725,"partiel"
2021,"01",0.585,"non"
2021,"02",0.6625,"non"
2021,"03",0.776666666666667,"non"
2021,"04",0.78,"non"
2021,"05",0.69,"non"
2021,"06",0.6125,"non"
2021,"07",0.505,"non"
2021,"08",0.35,"non"
2021,"09",0.2,"non"
2021,"10",0.155,"non"
2021,"11",0.1725,"non"
2021,"12",0.3075,"non"
2022,"01",0.365,"partiel"
2022,"02",0.3825,"partiel"
2022,"03",0.4675,"partiel"
2022,"04",0.613333333333333,"partiel"
2022,"05",0.615,"partiel"
2022,"06",0.475,"partiel"
2022,"07",0.295,"partiel"
2022,"08",0.12,"partiel"
2022,"09",0,"partiel"
2022,"10",0,"partiel"
2022,"11",0,"partiel"
2022,"12",0.229642857142857,"partiel"
2023,"01",0.425555555555556,"total"
2023,"02",0.6,"total"
2023,"03",0.7375,"total"
2023,"04",0.77,"total"
2023,"05",0.79,"total"
2023,"06",0.786666666666667,"total"
2023,"07",0.52,"total"
2023,"08",0.34,"total"
2023,"09",0.2525,"total"
2023,"10",0.3775,"total"
2023,"11",0.6,"total"
2023,"12",0.72,"total"
2024,"01",0.815,"non"
2024,"02",0.83,"non"
2024,"03",0.81,"non"
2024,"04",0.7875,"non"
2024,"05",0.713333333333333,"non"
2024,"06",0.645,"non"
2024,"07",0.485,"non"
2024,"08",0.305,"non"
2024,"09",0.165,"non"
2024,"10",0.48,"non"
2024,"11",0.92,"non"
2024,"12",0.805,"non"
2025,"01",0.85,"partiel"
2025,"02",0.895,"partiel"
2025,"03",0.835,"partiel"
2025,"04",0.726666666666667,"partiel"
2025,"05",0.65,"partiel"
2025,"06",0.505,"partiel"
2025,"07",0.31,"partiel"
2025,"08",0.175,"partiel"
2025,"09",0.28,"partiel"
2025,"10",0.463333333333333,"partiel"
2025,"11",0.63,"partiel"
2025,"12",0.66,"partiel"
